theta,phi,time,Sg (MW/m^2),PAR (mol PAR/m^2/s),PARdf (mol PAR/m^2/s),PARdr (mol PAR/m^2/s)
60.332376141151435,110.64775895054504,2024-06-18 10:00:00+00:00,0.0009066913929904567,0.0020891506750932184,0.0006727065173800163,0.0014164441577132019
62.157722136077325,113.53687951461916,2024-06-18 10:10:00+00:00,0.0009268802839340459,0.0021356688569908896,0.0006876853719510665,0.0014479834850398229
63.94132684726589,116.72116243176345,2024-06-18 10:20:00+00:00,0.0009455943316296945,0.0021787887825569,0.0007015699879833219,0.0014772187945735781
65.67292494726193,120.2576593768544,2024-06-18 10:30:00+00:00,0.0009627656792367736,0.0022183540996239025,0.0007143100200788967,0.0015040440795450057
67.3395511178592,124.21406213953219,2024-06-18 10:40:00+00:00,0.0009783316361918024,0.002254220359888946,0.0007258589558842406,0.0015283614040047051
68.92479474067716,128.66881647196226,2024-06-18 10:50:00+00:00,0.0009922350259111373,0.0022862558200717454,0.000736174374063102,0.0015500814460086432
70.40795784565643,133.7089630841773,2024-06-18 11:00:00+00:00,0.0010044245042896932,0.0023143421757827035,0.0007452181806020306,0.0015691239951806729
71.76325338021186,139.423535739802,2024-06-18 11:10:00+00:00,0.0010148548467927218,0.0023383752230247048,0.0007529568218139549,0.0015854184012107496
72.95936536961094,145.88947897302523,2024-06-18 11:20:00+00:00,0.0010234872016357684,0.0023582654415570704,0.0007593614721813767,0.0015989039693756937
73.95996646561628,153.14726954746152,2024-06-18 11:30:00+00:00,0.0010302893105242844,0.0023739385035121763,0.0007644081981309208,0.0016095303053812553
74.72602996480163,161.16699409685407,2024-06-18 11:40:00+00:00,0.0010352356870520331,0.0023853356844516895,0.0007680780903934441,0.0016172575940582453
75.22062716921425,169.81478835775727,2024-06-18 11:50:00+00:00,0.0010383077630823712,0.0023924142006506253,0.0007703573726095014,0.0016220568280411237
75.4158548372382,178.84109377088794,2024-06-18 12:00:00+00:00,0.0010394939931176194,0.0023951474495797686,0.0007712374787646855,0.001623909970815083
75.29968293990308,187.9124906456857,2024-06-18 12:10:00+00:00,0.001038789919644647,0.0023935251604715367,0.0007707151016718348,0.0016228100587997018
74.87934515349141,196.68483219252903,2024-06-18 12:20:00+00:00,0.001036198198363881,0.002387553452451339,0.0007687922116893312,0.0016187612407620078
74.17926842887859,204.8821742688515,2024-06-18 12:30:00+00:00,0.0010317285831235661,0.002377254799823885,0.000765476045543291,0.001611778754280594
73.23478866139224,212.34080614046758,2024-06-18 12:40:00+00:00,0.0010253978706668346,0.0023626679047622917,0.000760779065333458,0.0016018888394288336
72.08495744446174,219.00706525181897,2024-06-18 12:50:00+00:00,0.0010172298061839025,0.0023438474796864117,0.0007547188884590246,0.001589128591227387
70.7671018554848,224.90694867293973,2024-06-18 13:00:00+00:00,0.0010072549467981752,0.0023208639327146896,0.00074731818633413,0.0015735457463805593
69.31392149837427,230.11085645282887,2024-06-18 13:10:00+00:00,0.000995510492447543,0.0022938029779897306,0.0007386045589126933,0.0015551984190770372
67.75259759729346,234.70644815591922,2024-06-18 13:20:00+00:00,0.00098204007439485,0.002262765148375231,0.0007286103777768243,0.0015341547705984063
66.10505726304362,238.78213983633296,2024-06-18 13:30:00+00:00,0.0009668935107370463,0.00222786523211301,0.0007173726047403893,0.0015104926273726206
64.38872307427651,242.41890609726775,2024-06-18 13:40:00+00:00,0.0009501265275693276,0.0021892316303440728,0.0007049325849707914,0.0014842990453732812
62.617363500160735,245.68723312854848,2024-06-18 13:50:00+00:00,0.000931800448222416,0.002147005641065475,0.000691335816423083,0.0014556698246423918
60.801869283595934,248.6468061784705,2024-06-18 14:00:00+00:00,0.0009119818527222841,0.002101340674475309,0.0006766316971810496,0.0014247089772942594
58.95089849300267,251.34743910288353,2024-06-18 14:10:00+00:00,0.0008907422098241437,0.002052401405124755,0.0006608732524501712,0.0013915281526745839
57.07138783734449,253.83043584081952,2024-06-18 14:20:00+00:00,0.0008681574857116821,0.002000362870303415,0.0006441168442376997,0.0013562460260657153
55.16894758454753,256.12998993223056,2024-06-18 14:30:00+00:00,0.0008443077228241725,0.0019454094995948676,0.0006264218588695474,0.00131898764072532
53.248164733308364,258.2744513464315,2024-06-18 14:40:00+00:00,0.0008192766145476726,0.0018877341349024716,0.0006078503914385959,0.0012798837434638756
51.312832932308126,260.2874096770181,2024-06-18 14:50:00+00:00,0.0007931510485154887,0.0018275369781462875,0.0005884669069631046,0.001239070071183183
49.36612833702931,262.18858963176615,2024-06-18 15:00:00+00:00,0.0007660206440428135,0.001765024525444271,0.0005683378971930552,0.0011966866282512156
47.410744164011895,263.9945796355137,2024-06-18 15:10:00+00:00,0.0007379772779651175,0.0017004084745740036,0.0005475315288128292,0.0011528769457611744
45.448994326654635,265.7194194235815,2024-06-18 15:20:00+00:00,0.000709114603555789,0.001633904616487993,0.0005261172865091338,0.0011077873299788592
